Date,Site,treatment,Plot,Fill,Mass,NH4,NO3,PO4,TFPA,TRS,Bubles/sediment,Time,Average vacutainer 7.176g
6/16/2017,Hydric,Ancillary,1,,8.12,1.58345776,0.033000859,,3.396981396,0,,,
6/16/2017,Hydric,Ancillary,2,,11.38,0.250019646,0.040108736,0.011199052,0.52343424,0,,,
6/16/2017,Hydric,Ancillary,3,,8.6,1.399232758,0.030970037,1.45505734,1.249832778,0,,,
6/16/2017,Hydric,Ancillary,4,,8.02,1.182841485,0.033000859,,2.852182493,0,,,
6/16/2017,Hydric,Ancillary,5,,8.56,1.027858546,0.016246577,1.343066818,1.110962469,0,,,
6/16/2017,Hydric,Ancillary,6,,9.27,1.317354979,0.011169521,1.357816789,1.666443703,0,,,
6/16/2017,Hydric,Ancillary,7,,8.44,1.191614104,0.035539386,1.514330372,12.46628078,0.002529064,,,
6/16/2017,Hydric,Ancillary,8,,,,,,,,,,
6/20/2017,Hydric,Lysim,1,,8.98,4.918200807,0.017261988,1.438820245,8.025503818,0.130715825,,,
6/20/2017,Hydric,Lysim,2,,12.99,1.166679764,2.059909251,0.906140058,2.585124207,0.467057697,,,
6/20/2017,Hydric,Lysim,3,,7.35,4.286886568,0.013708049,,8.367398472,0.557553268,,,
6/20/2017,Hydric,Lysim,4,,12.48,1.413775204,2.017261988,0.531845972,6.82253952,0.064352406,,,
6/20/2017,Hydric,Lysim,5,,13.1,0.277799607,0.032493153,1.49686149,1.313926766,0.071893704,,,
6/21/2017,Hydric,Lysim,1,,,,,,,,,,
6/21/2017,Hydric,Lysim,2,,13.23,0.106996111,0.033708493,0.00233907,0.52343424,0.310198707,,,
6/21/2017,Hydric,Lysim,3,,,0.106996111,0.033708493,0.00233907,0.52343424,0.310198707,,,
6/21/2017,Hydric,Lysim,4,,,,,,,,,,
6/21/2017,Hydric,Lysim,5,,,,,,,,,,
6/22/2017,Hydric,Lysim,1,,9.53,0.239774418,0.023595945,0.141636224,0.385974048,0.070385444,,,
6/22/2017,Hydric,Lysim,2,,13.42,0.122465428,0.022921775,0,0.896822054,0.016088102,,,
6/22/2017,Hydric,Lysim,3,,9.14,0.204968454,0.047866061,0.242058629,0.079465245,0.034187216,,,
6/22/2017,Hydric,Lysim,4,,12.96,0.122465428,0.022247606,0.03947239,0.726539385,0.037203735,,,
6/22/2017,Hydric,Lysim,5,,13.27,0.095394123,0.035731003,0.016543575,0.817356808,0.037203735,,,
6/22/2017,Hydric,Ancillary,1,,10.43,0.17016249,0.017528417,0.213147726,0.998991655,0.201604022,,,
6/22/2017,Hydric,Ancillary,2,,13.01,0.122465428,0.033708493,0.00789436,0.113521779,0.004022025,,,
6/22/2017,Hydric,Ancillary,3,,11.07,0.16887338,0.033708493,0.119287885,0.408678404,0.014579842,,,
6/22/2017,Hydric,Ancillary,4,,11.71,0.121176319,0.027640965,2.473409631,0.192987024,0.013071582,,,
6/22/2017,Hydric,Ancillary,5,,9.83,0.190788246,0.025618455,0.470476063,0.090817423,0.08395978,,,
6/22/2017,Hydric,Ancillary,6,,,0.124702685,0.019609478,0.00648784,0.337778916,,,,
6/22/2017,Hydric,Ancillary,7,,13.08,2.356492666,0.023595945,0.022348339,0.874117698,0.008546804,,,
6/22/2017,Hydric,Ancillary,8,,7.47,0.155982283,0.041124362,,,0.035695475,,,
6/23/2017,Hydric,Lysim,1,,9.95,0.104417892,0.028315134,0.054274537,0.817356808,0.117141489,,,
6/23/2017,Hydric,Lysim,2,,11.34,0.090237684,0.024944285,0.002031667,0.613017606,0.011563323,,,
6/23/2017,Hydric,Lysim,3,,9.24,0.145669404,0.05258525,0.017124052,3.802979594,1.770288537,,,
6/23/2017,Hydric,Lysim,4,,12.94,0.126332758,0.017528417,0.004643811,0.499495827,0.093345464,,,
6/23/2017,Hydric,Lysim,5,,13.36,0.091526794,0.033034324,0.002612143,2.134209444,0.088432545,,,
6/25/2017,Hydric,Lysim,1,,10.61,0.11344166,0.024270115,0.026793562,0.578961073,0.01600415,,,
6/25/2017,Hydric,Lysim,2,,13.26,0.083792135,0.023595945,0.002143485,0.488143649,0.010143476,,,
