Date,Site,treatment,Plot,Fill,Mass,NH4,NO3,PO4,TFPA,TRS,Bubles/sediment,Time,Average vacutainer 7.176g
5/27/2017,Xeric,Snowfence,1,,,0.317178567,0.040808914,0.366857881,0.58838908,,,,
5/27/2017,Xeric,Snowfence,2,,13.3,0.308106227,0.150171154,0.360728547,1.250389817,0.08245152,,,
5/27/2017,,Snowfence,3,,,,,,,,,,
5/27/2017,Xeric,Snowfence,4,,,,,,,,,,
5/27/2017,Xeric,Snowfence,5,,13.11,0.302884088,0.344837464,0.240296339,0.375116945,0.019104621,,,
5/27/2017,Xeric,Snowfence,6,,,,,,,,,,
5/27/2017,Xeric,Snowfence,7,,8.85,0.751988081,0.085900372,1.479271081,0.500155927,0,,,
5/27/2017,Xeric,Snowfence,8,,12.77,0.24152395,0.11185588,0.118159902,0.208398303,0,,,
5/27/2017,Xeric,Control,1,,8.27,0.539185898,0.12977754,,0.875272872,0.623916687,,,
5/27/2017,Xeric,Control,2,,,0.27380372,0.033919098,0.534951926,0.217921881,,,,
5/27/2017,Xeric,Control,3,,13.2,0.462159341,0.230509631,0.714356139,0.531415672,0.047761551,,,
5/27/2017,Xeric,Control,4,,12.56,0.189302555,0.184778498,0.039481313,0.75023389,0.055302849,,,
5/27/2017,Xeric,Control,5,,12.23,0.292439809,0.101350079,0.31386224,4.282585123,0.014579842,,,
5/27/2017,Xeric,Control,6,,7.81,0.772876638,,,,0.112616711,,,
5/27/2017,Xeric,Control,7,,10.71,0.258495903,0.114327833,0.191441764,0.427216521,0.044745032,,,
5/27/2017,Xeric,Control,8,,12.13,0.198441299,0.100114102,0.06078418,0.250077963,0.034187216,,,
5/28/2017,Mesic,Snowfence,1,,12.08,0.644934222,0.101350079,1.042988366,0.510575842,0.019104621,,,
5/28/2017,Mesic,Snowfence,2,,,,,,,,,,
5/28/2017,Mesic,Snowfence,3,,12.95,0.37860511,0.021011602,0.550182044,1.542147441,0.245343548,,,
5/28/2017,Mesic,Snowfence,4,,13.32,0.207580043,0.01792166,0.036640931,1.11493092,0.221211396,,,
5/28/2017,Mesic,Snowfence,5,,12.08,0.198441299,0.010505801,0.04970669,1.708866083,0.340363898,,,
5/28/2017,Mesic,Snowfence,6,,,0.149101036,0.012719662,0.015924699,1.078713313,,,,
5/28/2017,Mesic,Snowfence,7,,,,,,,,,,
5/28/2017,Mesic,Snowfence,8,,,,,,,,,,
5/28/2017,Mesic,Control,1,,13.22,0.202357904,0.02162959,0.057375722,1.594247017,0.447450323,,,
5/28/2017,Mesic,Control,2,,,0.29413568,0.014309619,0.022412539,1.885024275,,,,
5/28/2017,Mesic,Control,3,,,0.214163306,0.015369591,0.013860386,1.438284418,,,,
5/28/2017,Mesic,Control,4,,10.77,0.204968973,0.011123789,0.019030561,1.041991514,0.084370407,,,
5/28/2017,Mesic,Control,5,,,0.303623928,0.036039041,0.010026662,3.410477445,,,,
5/28/2017,Mesic,Control,6,,12.21,0.211496648,0.016685684,0.020166714,1.239969902,0.019549241,,,
5/28/2017,Mesic,Control,7,,,,,,,,,,
5/28/2017,Mesic,Control,8,,,,,,,,,,
5/29/2017,Hydric,Snowfence,1,,9.84,0.342050134,0.03955125,0.144859495,1.354588968,0,,,
5/29/2017,Hydric,Snowfence,2,,,,,,,,,,
5/29/2017,Hydric,Snowfence,3,,12.6,0.387743854,0.022865567,0.291991296,0.552255503,0.00411563,,,
5/29/2017,Hydric,Snowfence,4,,13.28,0.219329857,0.031517403,0.061068219,0.302177539,0.081283684,,,
5/29/2017,Hydric,Snowfence,5,,,,,,,,,,
