Date,Site,Treatment,Plot #,Purpose,Purpose2,Nitrate,Ammonium,Phosphate,,,Matrix,Notes,Cat-L,Cat-W,An-L,An-W,Cation Area,Anion area
6/9/2017,Xeric,Snowfence,1,over winter,OW,0.011390615,0.016898682,0.0011625,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Snowfence,2,over winter,OW,0.000159868,0.019699569,0.0044591,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Snowfence,3,over winter,OW,0.051157849,0.017365497,0.0000677,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Snowfence,4,over winter,OW,0.000439638,0.018797061,0.0032413,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Snowfence,5,over winter,OW,0.024859517,0.024492197,0.0008242,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Snowfence,6,over winter,OW,0.004836015,0.023651931,0.0017775,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Snowfence,7,over winter,OW,0.021782053,0.021131133,0.0008857,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Snowfence,8,over winter,OW,0.001438815,0.023589689,0,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,1,over winter,OW,0.000879276,0.021100012,0.0036812,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,2,over winter,OW,0.001838485,0.023029512,0.0017327,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,3,over winter,OW,0.037569046,0.018734819,0.0008414,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,4,over winter,OW,4.00E-05,0.024025383,0.000548,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,5,over winter,OW,0.003876806,0.023122875,0.0001605,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,6,over winter,OW,0,0.025612552,0.0029284,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,7,over winter,OW,0.001758551,0.030156212,0.0007627,9/9/2016,273,2M KCl,,,,,,,
6/9/2017,Xeric,Control,8,over winter,OW,0.001718584,0.026390576,0.0028662,9/9/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Snowfence,1,over winter,OW,0.002038321,0.013537619,0.007384551,9/6/2016,273,2M KCl,,,,,,,
6/6/2017,Hydric,Snowfence,2,over winter,OW,0.0032773,0.02296727,0.000852489,9/6/2016,273,2M KCl,,,,,,,
