Date,Site,treatment,Plot,Depth,TOC.k2so4,TN.k2so4,TOC.fum,TN.fum,MBC,MBN,PO4.fum,NH4,NO3,PO4,TFPA,phenolics,TRS,Mic.PO4,Core.length,Core.mass,Homogenized.mass,Dry.weight,NH4.H2O,NO3.H2O,PO4.H2O,TFPA.H2O,TRS.H2O,Data.Type,Fill,Mass,Bubles.sediment,Time,Average.vacutainer.7.176g,Purpose,Purpose2,X,X.1,Matrix,Notes,Cat.L,Cat.W,An.L,An.W,Cation.Area,Anion.area,pH,X_decimal.degree,Y_decimal.degree,DBH..cm.,Height.m.
9/5/2021,Hydric,Control,1,NA,83.499,4.7,2144.066,655.658,2060.567,650.958,43.267,28.792,8.448,11.794,735.155,0,1.368,31.474,,NA,NA,0.1,20.372,6.736,36.083,5.953,0.204,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Control,2,NA,466.488,70.342,1907.963,671.696,1441.474,601.353,85.181,17.913,18.716,16.026,420.056,0,4.336,69.156,,NA,NA,0.128,5.119,4.673,36.583,263.575,0.564,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Control,4,NA,388.794,48.881,2489.439,612.897,2100.644,564.016,44.303,33.036,18.668,9.952,893.753,0,4.729,34.351,,NA,NA,0.136,25.304,2.995,31.991,154.552,0.723,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Control,6,NA,529.121,32.187,2316.623,81.738,1787.502,49.55,47.083,31.681,21.364,14.599,696.482,14.247,2.538,32.484,,NA,NA,0.084,18.384,4.31,32.397,660.602,1.186,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Control,7,NA,446.864,70.233,1804.871,636.419,1358.007,566.186,78.164,24.805,13.162,10.897,465.994,15.17,0,67.267,,NA,NA,0.11,20.625,0.422,34.516,96.481,2.821,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Control,8,NA,731.261,22.364,2337.778,647.21,1606.517,624.846,53.231,30.061,14,6.46,789.077,0,2.033,46.771,,NA,NA,0.105,19.501,23.716,13.218,223.137,1.44,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Snowfence,1,NA,550.514,104.214,2149.954,433.236,1599.44,329.023,39.895,32.197,7.001,9.318,471.789,12.97,1.101,30.577,,NA,NA,0.146,18.428,3.87,46.805,485.283,0.304,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Snowfence,2,NA,510.903,37.173,2228.165,1023.284,1717.262,986.112,102.291,30.693,5.071,10.181,271.989,0,1.688,92.11,,NA,NA,0.146,22.511,0.007,39.856,1486.179,0.799,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Snowfence,4,NA,492.06,51.053,1804.553,1017.669,1312.493,966.616,42.087,26.61,23.204,9.732,533.395,7.076,5.296,32.356,,NA,NA,0.1,10.866,5.967,24.196,136.011,0.563,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Snowfence,6,NA,639.904,40.473,1918.958,101.276,1279.054,60.803,51.437,40.716,23.654,8.743,550.201,15.81,0.71,42.694,,NA,NA,0.148,26.218,8.725,33.402,1384.885,0.299,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Snowfence,7,NA,362.555,28.175,2227.279,841.148,1864.724,812.972,63.345,34.554,13.88,4.421,65.683,0,0,58.924,,NA,NA,0.138,7.97,8.35,20.834,90.986,0.068,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Hydric,Snowfence,8,NA,187.481,84.406,2086.644,379.032,1899.162,294.626,22.851,32.365,15.439,4.792,579.46,10.68,1.395,18.059,,NA,NA,0.135,5.951,1.129,0.019,299.797,0.343,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Control,1,NA,602.103,15.291,2147.243,286.355,1545.14,271.064,33.521,26.011,12.038,10.022,248.057,30.287,3.567,23.499,,NA,NA,0.124,27.548,8.451,52.045,196.071,0.73,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Control,2,NA,311.721,71.355,1942.938,831.411,1631.216,760.055,104.644,45.555,7.749,7.41,348.796,0,1.615,97.233,,NA,NA,0.156,4.811,6.601,10.722,643.405,1.721,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Control,3,NA,1164.378,22.38,2214.282,734.403,1049.904,712.023,56.506,38.099,16.46,16.564,266.692,24.68,2.141,39.941,,NA,NA,0.098,6.394,15.177,12.491,172.15,1.214,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Control,6,NA,377.826,66.201,1996.032,187.054,1618.206,120.852,19.389,26.62,13.791,12.727,786.86,19.931,0,6.662,,NA,NA,0.146,40.528,10.531,8.518,1336.911,0.936,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Control,7,NA,71.341,28.601,2689.266,1079.786,2617.925,1051.185,50.339,25.479,21.999,9.84,599.155,0,0,40.499,,NA,NA,0.1,30.623,0.591,27.857,434.368,1.39,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Control,8,NA,126.066,48.948,2301.066,1315.815,2175,1266.867,25.477,30.501,18.269,8.061,0,30.497,4.531,17.416,,NA,NA,0.1,20.914,20.775,13.779,128.577,0.927,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,1,NA,245.466,72.089,2313.452,755.181,2067.986,683.092,110.902,32.531,11.361,8.656,1151.194,0,0.56,102.246,,NA,NA,0.148,17.546,2.082,20.233,82.048,0.6,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,2,NA,56.168,59.856,2232.804,745.384,2176.636,685.528,53.263,37.974,13.991,15.462,791.47,29.107,0.922,37.802,,NA,NA,0.107,35.825,18.384,46.751,102.769,2.026,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,3,NA,612.435,99.914,2065.347,559.452,1452.912,459.538,49.861,29.748,18.469,9.77,652.952,20.13,2.74,40.09,,NA,NA,0.15,18.778,9.736,17.78,919.317,1.261,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,4,NA,513.359,85.435,1952.464,735.035,1439.105,649.601,138.496,37.363,16.011,2.403,527.958,0,2.67,136.094,,NA,NA,0.151,2.979,6.963,24.295,525.335,0.476,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,5,NA,82.922,40.415,2312.439,218.755,2229.516,178.34,19.573,33.902,16.013,8.011,183.345,7.137,2.785,11.562,,NA,NA,0.115,10.486,9.221,42.644,1572.854,2.417,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,6,NA,160.653,19.279,1929.026,881.296,1768.373,862.017,45.118,25.425,17.664,10.779,0,6.674,1.206,34.339,,NA,NA,0.132,25.231,16.932,21.547,62.841,1.709,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,7,NA,62.493,16.434,1395.527,601.831,1333.034,585.397,49.212,38.291,17.763,4.636,0,7.332,0,44.575,,NA,NA,0.147,30.92,15.654,10.66,559.951,1.664,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Mesic,Snowfence,8,NA,383.788,44.869,1736.908,718.165,1353.12,673.296,79.15,23.153,6.257,15.526,663.5,1.355,2.389,63.624,,NA,NA,0.151,26.582,7.556,54.498,212.404,1.375,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Control,3,NA,505.35,16.398,2516.293,166.5,2010.943,150.102,35.584,48.818,32.177,15.008,1042.494,21.462,3.879,20.576,,NA,NA,0.087,37.622,3.72,3.248,62.567,0.231,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Control,4,NA,1094.935,7.366,2411.04,608.901,1316.105,601.534,27.353,56.22,10.113,15.351,717.703,15.398,3.603,12.003,,NA,NA,0.133,18.688,7.845,23.111,2008.38,0.153,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Control,5,NA,361.81,38.18,2236.662,721.101,1874.852,682.921,75.002,64.669,31.101,17.286,670.102,13,1.994,57.716,,NA,NA,0.137,18.052,7.859,9.601,553.268,0.556,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Control,6,NA,610.269,16.324,2027.006,709.803,1416.737,693.479,33.532,40.2,10.63,8.424,448.365,12.242,4.219,25.107,,NA,NA,0.145,25.991,6.729,4.803,259.508,1.673,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Control,8,NA,101.592,17.952,1886.997,254.569,1785.405,236.617,50.673,41.863,28.221,8.576,610.388,21.921,4.218,42.097,,NA,NA,0.114,36.549,20.968,12.679,364.407,1.675,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Snowfence,1,NA,16.773,34.804,2574.036,624.508,2557.264,589.703,63.899,50.458,35.518,4.509,276.877,0,2.535,59.39,,NA,NA,0.144,32.849,0.928,8.364,211.707,0.785,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Snowfence,2,NA,713.287,41.117,1919.172,786.037,1205.886,744.921,31.738,50.088,28.882,17.121,902.658,0,1.95,14.616,,NA,NA,0.15,3.973,6.869,23.801,153.059,0.826,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Snowfence,3,NA,1002.418,25.065,2155.762,322.06,1153.343,296.996,42.018,54.798,16.15,13.706,960.704,0,2.894,28.312,,NA,NA,0.143,3.077,6.101,26.074,532.144,0.34,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2021,Xeric,Snowfence,4,NA,346.741,0.68,2407.531,598.443,2060.789,597.762,29.343,47.56,25.218,3.289,349.99,0,0.037,26.054,,NA,NA,0.143,7.799,14.032,14.852,651.286,1.458,Soil extracts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
