,For all sample types
,"A  5cm diameter soil corer was used to collect soil cores down to 15 cm from around the trees listed on the tree data sheet. A single core down to 15 cm was taken and homogenized. A sub sample of homogenized soil cores (5g wet soil) was placed in a tube with 25mL 0.5 M potassium sulfate or water, shaken, then filtered. "
Date,Day/Month/year format
Site,"Site (Main: Mesic, Hydric, or Xeric). All three sites are located on relatively close arctic treelines in the foothills of the western Brooks Range where similar white spruce trees were selected to study the effect of snowpack on soil nutrients and how that effects tree growth. The data in this sheet contains information about the tree locations where soils were sampled and the analytical results from testing the various soil samples taken.  "
treatment,"Treatment (Main: Ancillary, Snowfence, Control, fertilized.) The main treatment of this experiment are snowfences built around trees at an arctic treeline (to induce larger snowdrifts). Similar trees were also selected for the control plots which have no fence. To reduce the impact of soil sampling on these trees over the course of four years an additional set of controls named the Ancillary plots were set up. The fertilized treatment NPK fertilizer containing 10 g/m2 nitrogen (N), 5 g/m2 phosphorus (P) and 10 g/m2 potassium (K) was evenly applied 1.5 m away from the main stem of each tree. N from: (NH4)2SO4, P from: P2O5, and K from: KCl. Fertilizer was applied early June of 2015 and 2016 (Methods and more information about these trees see: Ellison, S.B., et al., Poor nutrition as a potential cause of divergent tree growth near the Arctic treeline in northern Alaska. Ecology, 2019. 100(12): p. e02878.)."
Plot,"N from: (NH4)2SO4, P from: P2O5, and K from: KCl. Fertilizer was applied early June of 2015 and 2016 (Methods and more information about these trees see: Ellison, S.B., et al., Poor nutrition as a potential cause of divergent tree growth near the Arctic treeline in northern Alaska. Ecology, 2019. 100(12): p. e02878.)."
Data.Type,"Soil extract (K2SO4 or water), soil pore water, resin strip, pH, or tree location"
X_decimal.degree,"X coordinate, decimal degrees"
Y_decimal.degree,"Y coordinate, decimal degrees"
DBH (cm),Diameter at breast height for each tree in centimeters
Height (m),Height of each tree in meters
Dry.weight,the dry mass in 5g wet soil (applies to both extractions)
Depth,The depth measured in the hole from coring (This data applys to H2O as well) in cm
Core length,Length of the core in cm
Core mass,Mass of core in g
Homogenized mass,Mass of total homogenized soil from core in g
Core Notes,"rough proportion of clay, based on a physical inspection of the core"
NO3,Nitrate in 痢 NO3-N g-1 dry soil
NH4,Ammonium in 痢 NH4-N g-1 dry soil
PO4,Phosphate in 痢 PO4-P g-1 dry soil
TFPA,Total free primary amines in nmol Leu equiv. g-1 dry soil (Run against a leucine curve)
TRS,Total reducing sugars in mg sugar equivalents g-1 dry soil (Run against a glucose curve)
TOC,Total organic carbon in 痢 C g-1 dry soil
TN,Total nitrogen in 痢 N g-1 dry soil
FUM TOC,Total organic carbon in 痢 C g-1 dry soil
FUM TN,Total nitrogen in 痢 N g-1 dry soil
MBC,This is the FUM TOC - TOC in 痢 C g-1 dry soil
MBN,This is the FUM TN - TN in  痢 N g-1 dry soil
PO4.FUM,Phosphate in fumigated sample 痢 PO4-P g-1 dry soil
phenolics,phenolics measured using a prussian blue assay. Reported in 痢 gallic acid equiv. g-1 dry soil
,
Water extractions:,Soil extractions performed with 25 mL nanopure H2O to 5 g soil
NH4.H2O,Ammonium in 痢 NH4-N g-1 dry soil
NO3.H2O,Nitrate in 痢 NO3-N g-1 dry soil
PO4.H2O,Phosphate in 痢 PO4-P g-1 dry soil
TFPA.H2O,Total free primary amines in nmol Leu equiv. g-1 dry soil (Run against a leucine curve)
TRS.H2O,Total reducing sugars in mg sugar equivalents g-1 dry soil (Run against a glucose curve)
,
Resin extract:,"Resin strips (GE Power and Water, via Maltz sales (http://www.maltzsales.com/): anion model #3009749; cation model #3009753; Qian and Schoenau 2005), 2x6 cm were inserted into the ground, removed at a later date, and extracted using 35 mL 2 M KCl combined with the strips in a 50 mL falcon tube. The extractant was then filtered using a Whatman #1 filter paper. "
Purpose,This will tell you if the resin strip was in the ground for the summer or winter months
NH4,Ammonium in 痢 NH4-N cm-2 d-1 (Area is the area of the given resin strip)
NO3,Nitrate in 痢 NO3-N cm-2 d-1 (Area is the area of the given resin strip)
PO4,Phosphate in 痢 PO4-P cm-2 d-1 (Area is the area of the given resin strip)
Due to resin stip cutting issues each strip was individually measured for these sample sets. ,
Cat-L,Cation strip dimension 1 in cm
Cat-W,Cation strip dimension 2 in cm
An-L,Anion strip dimension 1 in cm
An-W,Anion strip dimension 2 in cm
Cation Area,Area of Cation strip in cm^2
Anion Area,Area of anion strip in cm^2
days in ground,This is the number of days the strips were in the ground
,
Data.Type,"This column tells you the type of sample, soil extraction, pore water, resin strip, soil ph, tree location"
,
Pore water:,Pore water samples are collected using microlysimetry. This process includes using an evacuated tube and using a preinstalled (installed Fall 2016 for this project) lysimeter which is a porous piece of pvc reinforced with a wire to suck water non-destructively out of soils. 
fill,"This is a rough metric for how fast the vacutainers are filling (S-Slow (Indicates no sign of filling before leaving plot), D-Drip (This indicates a drop), M-medium (Filling consistently), F-Fast (rapid consistent), S-Spit (Fast, but so much air it looks like the needle is spitting), VF-very fast (This indicated the water is entering the vacutainer as a projectile, constant stream entering vacutainer). "
mass,The mass of the vacutainer plus liquid in g
Time,time to collect pore water sample
Average.vacutainer.7.176g,This is the average mass of vacutainers (n=50)
Bubles/sediment,"B-Bubbles identified in the lysimeter tube (Not the vacutainer) and are somewhat large, tb- tiny bubbles identified in the lysimeter tube. Sediment- indicated sediment in the vacutainer. "
NO3,Nitrate in 痢 NO3-N mL-1 pore water
NH4,Ammonium in 痢 NH4-N mL-1 pore water
PO4,Phosphate in 痢 PO4-P mL-1 pore water
TFPA,Total free primary amines in 痠ol Leu equiv. L-1 pore water
purpose 2,this is an abreviation of purpose column
X.1 ,days spent in the ground
Matrix,a column that tells you if KCl was used as a matrix for extraction. 
,
