Day,Precip,Year,Month
1,0.07,2016,Jan
2,0.12,2018,Jan
3,0.06,2018,Jan
4,0.03,2018,Jan
5,T,2021,Jan
6,0.03,2016,Jan
7,T,2017,Jan
8,0,2022,Jan
9,0.04,2021,Jan
10,0.01,2021,Jan
11,0.01,2017,Jan
12,0.03,2016,Jan
13,0.24,2020,Jan
14,0.04,2019,Jan
15,0.18,2022,Jan
16,0.07,2022,Jan
17,0.04,2021,Jan
18,0.21,2021,Jan
19,0.07,2021,Jan
20,T,2021,Jan
21,0.05,2021,Jan
22,0.09,2021,Jan
23,0.06,2022,Jan
24,0.22,2017,Jan
25,0.12,2017,Jan
26,0.02,2019,Jan
27,0.07,2019,Jan
28,0.03,2017,Jan
29,0.04,2016,Jan
30,0.09,2016,Jan
31,T,2017,Jan
1,0.01,2020,Feb
2,0.38,2019,Feb
3,0.11,2019,Feb
4,0.03,2019,Feb
5,0.01,2019,Feb
6,0.08,2019,Feb
7,0.08,2019,Feb
8,0.08,2020,Feb
9,0.16,2020,Feb
10,0.19,2019,Feb
11,0.19,2019,Feb
12,0.09,2021,Feb
13,0.16,2018,Feb
14,0.09,2018,Feb
15,0.01,2019,Feb
16,0.16,2019,Feb
17,0.11,2020,Feb
18,0.19,2020,Feb
19,0.09,2018,Feb
20,0.05,2022,Feb
21,0.6,2022,Feb
22,0.77,2019,Feb
23,0.59,2017,Feb
24,0.21,2017,Feb
25,0.19,2017,Feb
26,0.14,2018,Feb
27,0.23,2018,Feb
28,0.01,2018,Feb
29,0,2020,Feb
30,-,-,Feb
31,-,-,Feb
1,0.16,2018,Mar
2,0.37,2018,Mar
3,0.15,2018,Mar
4,0.37,2019,Mar
5,0.15,2019,Mar
6,0.11,2019,Mar
7,0.02,2018,Mar
8,0.19,2018,Mar
9,T,2019,Mar
10,0.03,2018,Mar
11,0.01,2019,Mar
12,0.25,2020,Mar
13,0.22,2018,Mar
14,0.1,2018,Mar
15,0.18,2020,Mar
16,0.06,2019,Mar
17,0.08,2020,Mar
18,0.1,2018,Mar
19,0.1,2018,Mar
20,0.12,2018,Mar
21,0.02,2019,Mar
22,0.06,2021,Mar
23,0.03,2018,Mar
24,0.17,2020,Mar
25,0.25,2019,Mar
26,0.01,2019,Mar
27,T,2019,Mar
28,0.03,2018,Mar
29,0.04,2018,Mar
30,0.09,2018,Mar
31,0.14,2018,Mar
1,0.09,2016,Apr
2,0.08,2016,Apr
3,0.18,2016,Apr
4,0.13,2020,Apr
5,0.05,2020,Apr
6,0.22,2020,Apr
7,0.01,2018,Apr
8,0.01,2020,Apr
9,0.19,2022,Apr
10,0.14,2016,Apr
11,0.02,2020,Apr
12,0.03,2020,Apr
13,0.04,2020,Apr
14,0.03,2020,Apr
15,0.01,2020,Apr
16,0.12,2020,Apr
17,0.18,2020,Apr
18,0.34,2020,Apr
19,0.01,2020,Apr
20,T,2020,Apr
21,0,2022,Apr
22,0,2022,Apr
23,0,2022,Apr
24,0.07,2018,Apr
25,0.01,2018,Apr
26,T,2019,Apr
27,0.02,2018,Apr
28,0.16,2021,Apr
29,0.05,2018,Apr
30,T,2021,Apr
31,-,-,Apr
1,0.12,2018,May
2,0.05,2018,May
3,0.06,2022,May
4,T,2019,May
5,0.05,2018,May
6,0.06,2018,May
7,0.03,2022,May
8,0.16,2022,May
9,0.02,2022,May
10,0.18,2016,May
11,0.12,2016,May
12,0.26,2022,May
13,0.01,2021,May
14,0.02,2017,May
15,T,2019,May
16,T,2017,May
17,0.01,2017,May
18,0.01,2019,May
19,T,2021,May
20,0.02,2016,May
21,0.14,2020,May
22,0.08,2020,May
23,0.13,2017,May
24,0.23,2017,May
25,0.01,2016,May
26,0.13,2016,May
27,0.1,2020,May
28,0.01,2018,May
29,T,2018,May
30,0,2022,May
31,T,2019,May
1,T,2022,Jun
2,0.09,2021,Jun
3,0.03,2018,Jun
4,T,2021,Jun
5,T,2021,Jun
6,0.08,2021,Jun
7,0.08,2021,Jun
8,T,2021,Jun
9,0.04,2017,Jun
10,0.04,2020,Jun
11,T,2019,Jun
12,0.01,2022,Jun
13,0.18,2022,Jun
14,0.27,2021,Jun
15,0.03,2020,Jun
16,T,2017,Jun
17,0.07,2017,Jun
18,0.02,2017,Jun
19,0.31,2018,Jun
20,0.05,2017,Jun
21,0.06,2022,Jun
22,0.21,2018,Jun
23,0.02,2018,Jun
24,0.08,2021,Jun
25,0.04,2022,Jun
26,0.1,2019,Jun
27,0.34,2020,Jun
28,0.14,2020,Jun
29,0.29,2020,Jun
30,0.11,2021,Jun
31,-,-,Jun
1,0.02,2021,Jul
2,0.6,2019,Jul
3,0.05,2019,Jul
4,0.03,2021,Jul
5,0.22,2021,Jul
6,1.52,2021,Jul
7,0.44,2021,Jul
8,0.58,2018,Jul
9,0.07,2021,Jul
10,0.86,2018,Jul
11,0.02,2022,Jul
12,0,2022,Jul
13,T,2021,Jul
14,T,2021,Jul
15,0.16,2018,Jul
16,0.06,2016,Jul
17,0.29,2016,Jul
18,0.44,2022,Jul
19,0.48,2022,Jul
20,0.45,2016,Jul
21,0.06,2022,Jul
22,T,2021,Jul
23,0.49,2017,Jul
24,0.09,2022,Jul
25,0.96,2017,Jul
26,0.5,2022,Jul
27,0.47,2021,Jul
28,0.79,2021,Jul
29,0.06,2021,Jul
30,0.67,2019,Jul
31,0.72,2019,Jul
1,0.85,2018,Aug
2,0.8,2019,Aug
3,0.1,2019,Aug
4,0.02,2018,Aug
5,0.21,2022,Aug
6,0.16,2021,Aug
