Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
153.7073723,0,0,0,0,0,0,0,0,,,154.7146487,0,0
153.7075928,0,0,0,0,0,0,0,0,,,154.7148692,0,0
153.7194972,0,0,0,0,0,0,0,0,,,154.7267737,0,0
153.7197152,0,0,0,0,0,0,0,0,,,154.7269917,0,0
153.7349707,0,0,0,0,0,0,0,0,,,154.7422472,0,0
153.7471797,0,0,0,0,0,0,0,0,,,154.7544562,0,0
154.0227736,0,0,0,0,0,0,0,0,,,155.0300501,0,0
154.0278352,0,0,0,0,0,0,0,0,,,155.0351117,0,0
154.0653302,0,0,0,0,0,0,0,0,,,155.0726066,0,0
154.0724595,0,0,0,0,0,0,0,0,,,155.079736,0,0
154.0729211,0,0,0,0,0,0,0,0,,,155.0801976,0,0
154.0807281,0,0,0,0,0,0,0,0,,,155.0880046,0,0
154.0847544,0,0,0,0,0,0,0,0,,,155.0920309,0,0
154.084991,0,0,0,0,0,0,0,0,,,155.0922675,0,0
154.0852491,0,0,0,0,0,0,0,0,,,155.0925256,0,0
154.1015845,0,0,0,0,0,0,0,0,,,155.108861,0,0
154.2390015,0,0,0,0,0,0,0,0,,,155.2462779,0,0
154.2393924,0,0,0,0,0,0,0,0,,,155.2466688,0,0
154.3913761,0,0,0,0,0,0,0,0,,,155.3986526,0,0
154.3916806,0,0,0,0,0,0,0,0,,,155.3989571,0,0
154.4179481,0,0,0,0,0,0,0,0,,,155.4252245,0,0
154.4222971,0,0,0,0,0,0,0,0,,,155.4295735,0,0
154.526734,0,0,0,0,0,0,0,0,,,155.5340104,0,0
154.5271214,0,0,0,0,0,0,0,0,,,155.5343978,0,0
154.7396435,0,0,0,0,0,0,0,0,,,155.74692,0,0
154.7614353,0,0,0,0,0,0,0,0,,,155.7687117,0,0
154.7616875,0,0,0,0,0,0,0,0,,,155.7689639,0,0
154.762109,0,0,0,0,0,0,0,0,,,155.7693854,0,0
154.7658191,0,0,0,0,0,0,0,0,,,155.7730955,0,0
154.7660788,0,0,0,0,0,0,0,0,,,155.7733552,0,0
154.7663173,0,0,0,0,0,0,0,0,,,155.7735937,0,0
154.7719173,0,0,0,0,0,0,0,0,,,155.7791937,0,0
154.8806664,0,0,0,0,0,0,0,0,,,155.8879428,0,0
154.8807473,0,0,0,0,0,0,0,0,,,155.8880237,0,0
154.8809424,0,0,0,0,0,0,0,0,,,155.8882188,0,0
154.8811462,0,0,0,0,0,0,0,0,,,155.8884226,0,0
154.8813478,0,0,0,0,0,0,0,0,,,155.8886242,0,0
154.9042687,0,0,0,0,0,0,0,0,,,155.9115452,0,0
155.0516405,0,0,0,0,0,0,0,0,,,156.058917,0,0
155.0637075,0,0,0,0,0,0,0,0,,,156.0709839,0,0
155.0713593,8,12,3,0,0,0,0,0,CHO,[M-H]-,156.0786357,0.054645446,1
155.1074823,0,0,0,0,0,0,0,0,,,156.1147588,0,0
155.1076349,0,0,0,0,0,0,0,0,,,156.1149114,0,0
155.1077399,9,16,2,0,0,0,0,0,CHO,[M-H]-,156.1150164,0.085813951,1
155.1078794,0,0,0,0,0,0,0,0,,,156.1151559,0,0
155.1079647,0,0,0,0,0,0,0,0,,,156.1152412,0,0
155.1080614,0,0,0,0,0,0,0,0,,,156.1153379,0,0
155.1090599,0,0,0,0,0,0,0,0,,,156.1163364,0,0
155.1093218,0,0,0,0,0,0,0,0,,,156.1165983,0,0
155.1095492,0,0,0,0,0,0,0,0,,,156.1168257,0,0
155.1441126,10,20,1,0,0,0,0,0,CHO,[M-H]-,156.1513891,0.167559785,1
155.3941959,0,0,0,0,0,0,0,0,,,156.4014724,0,0
155.4585978,0,0,0,0,0,0,0,0,,,156.4658743,0,0
155.4587349,0,0,0,0,0,0,0,0,,,156.4660114,0,0
155.4589629,0,0,0,0,0,0,0,0,,,156.4662394,0,0
155.4591134,0,0,0,0,0,0,0,0,,,156.4663899,0,0
155.4592358,0,0,0,0,0,0,0,0,,,156.4665123,0,0
155.4651973,0,0,0,0,0,0,0,0,,,156.4724738,0,0
155.4705893,0,0,0,0,0,0,0,0,,,156.4778657,0,0
155.4799728,0,0,0,0,0,0,0,0,,,156.4872492,0,0
155.5253137,0,0,0,0,0,0,0,0,,,156.5325902,0,0
155.5568216,0,0,0,0,0,0,0,0,,,156.5640981,0,0
155.5843151,0,0,0,0,0,0,0,0,,,156.5915916,0,0
155.5845721,0,0,0,0,0,0,0,0,,,156.5918486,0,0
155.6208385,0,0,0,0,0,0,0,0,,,156.628115,0,0
155.7108834,0,0,0,0,0,0,0,0,,,156.7181598,0,0
155.7112041,0,0,0,0,0,0,0,0,,,156.7184805,0,0
155.7293813,0,0,0,0,0,0,0,0,,,156.7366578,0,0
155.8137409,0,0,0,0,0,0,0,0,,,156.8210174,0,0
155.8146277,0,0,0,0,0,0,0,0,,,156.8219042,0,0
155.8200692,0,0,0,0,0,0,0,0,,,156.8273457,0,0
156.0665891,7,11,3,1,0,0,0,0,CHON,[M-H]-,157.0738655,0.176262391,1
156.0983607,0,0,0,0,0,0,0,0,,,157.1056372,0,0
156.1106947,0,0,0,0,0,0,0,0,,,157.1179712,0,0
156.1108847,0,0,0,0,0,0,0,0,,,157.1181612,0,0
156.1110959,8,16,2,0,1,0,0,0,CHO,[M-H]-,157.1183724,0.077855531,0
156.1113182,0,0,0,0,0,0,0,0,,,157.1185947,0,0
156.1241922,0,0,0,0,0,0,0,0,,,157.1314686,0,0
156.1308697,0,0,0,0,0,0,0,0,,,157.1381461,0,0
156.1567751,0,0,0,0,0,0,0,0,,,157.1640516,0,0
156.1630956,0,0,0,0,0,0,0,0,,,157.1703721,0,0
156.1666941,0,0,0,0,0,0,0,0,,,157.1739706,0,0
156.1672086,0,0,0,0,0,0,0,0,,,157.1744851,0,0
156.1695616,0,0,0,0,0,0,0,0,,,157.1768381,0,0
156.1697534,0,0,0,0,0,0,0,0,,,157.1770299,0,0
156.1699845,0,0,0,0,0,0,0,0,,,157.177261,0,0
156.1703159,0,0,0,0,0,0,0,0,,,157.1775924,0,0
156.1708641,0,0,0,0,0,0,0,0,,,157.1781406,0,0
156.1740726,0,0,0,0,0,0,0,0,,,157.1813491,0,0
156.1761176,0,0,0,0,0,0,0,0,,,157.1833941,0,0
156.1766096,0,0,0,0,0,0,0,0,,,157.1838861,0,0
156.351437,0,0,0,0,0,0,0,0,,,157.3587135,0,0
156.351666,0,0,0,0,0,0,0,0,,,157.3589425,0,0
156.3636303,0,0,0,0,0,0,0,0,,,157.3709067,0,0
156.3638563,0,0,0,0,0,0,0,0,,,157.3711327,0,0
156.3783802,0,0,0,0,0,0,0,0,,,157.3856567,0,0
156.5123908,0,0,0,0,0,0,0,0,,,157.5196673,0,0
156.5254741,0,0,0,0,0,0,0,0,,,157.5327506,0,0
156.5257044,0,0,0,0,0,0,0,0,,,157.5329809,0,0
156.5259707,0,0,0,0,0,0,0,0,,,157.5332472,0,0
156.6859547,0,0,0,0,0,0,0,0,,,157.6932312,0,0
156.7133677,0,0,0,0,0,0,0,0,,,157.7206441,0,0
156.8483477,0,0,0,0,0,0,0,0,,,157.8556242,0,0
156.8488754,0,0,0,0,0,0,0,0,,,157.8561519,0,0
156.8627312,0,0,0,0,0,0,0,0,,,157.8700077,0,0
156.8747221,0,0,0,0,0,0,0,0,,,157.8819986,0,0
156.8749751,0,0,0,0,0,0,0,0,,,157.8822516,0,0
156.8752267,0,0,0,0,0,0,0,0,,,157.8825032,0,0
156.8778289,0,0,0,0,0,0,0,0,,,157.8851054,0,0
156.8877757,0,0,0,0,0,0,0,0,,,157.8950521,0,0
156.8878838,0,0,0,0,0,0,0,0,,,157.8951602,0,0
156.8879667,0,0,0,0,0,0,0,0,,,157.8952431,0,0
156.8881267,0,0,0,0,0,0,0,0,,,157.8954031,0,0
156.8882953,0,0,0,0,0,0,0,0,,,157.8955717,0,0
156.8884558,0,0,0,0,0,0,0,0,,,157.8957322,0,0
156.8946657,0,0,0,0,0,0,0,0,,,157.9019421,0,0
157.0142372,6,6,5,0,0,0,0,0,CHO,[M-H]-,158.0215136,0.061184785,1
157.0171149,0,0,0,0,0,0,0,0,,,158.0243913,0,0
157.0173472,0,0,0,0,0,0,0,0,,,158.0246236,0,0
157.0233172,0,0,0,0,0,0,0,0,,,158.0305936,0,0
157.0236055,0,0,0,0,0,0,0,0,,,158.0308819,0,0
157.0355581,0,0,0,0,0,0,0,0,,,158.0428346,0,0
157.0357764,0,0,0,0,0,0,0,0,,,158.0430529,0,0
157.0480681,0,0,0,0,0,0,0,0,,,158.0553446,0,0
157.0503488,0,0,0,0,0,0,0,0,,,158.0576253,0,0
157.0505769,0,0,0,0,0,0,0,0,,,158.0578534,0,0
157.050648,7,10,4,0,0,0,0,0,CHO,[M-H]-,158.0579245,-0.09910014,1
157.0508306,0,0,0,0,0,0,0,0,,,158.0581071,0,0
157.0867926,0,0,0,0,0,0,0,0,,,158.0940691,0,0
157.0870081,8,14,3,0,0,0,0,0,CHO,[M-H]-,158.0942846,0.061382847,1
157.0872198,0,0,0,0,0,0,0,0,,,158.0944963,0,0
157.114396,0,0,0,0,0,0,0,0,,,158.1216725,0,0
157.123453,9,18,2,0,0,0,0,0,CHO,[M-H]-,158.1307294,-0.313839945,1
157.2246948,0,0,0,0,0,0,0,0,,,158.2319713,0,0
157.2569778,0,0,0,0,0,0,0,0,,,158.2642542,0,0
