row retention time,row identity (main ID),row identity (all IDs),Wein_HA1_060218_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA1_060619_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA1_060717_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA1_082517_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA2_062718_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA2_081319_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA3_082218_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA4_060619_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA4_062718_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA4_081319_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA5_060717_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA5_081319_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA5_082218_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA6_060218_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA6_062718_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA6_082218_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA7_060218_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA7_060717_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA7_082517_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HA8_082517_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_HS1_060619_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA2_062618_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA3_060318_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA3_081017_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA4_081017_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA4_082018_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA5_062717_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA6_060318_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA6_062717_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA6_081419_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA6_082018_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA7_060318_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA7_062618_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA7_062717_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA7_081419_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA8_062618_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA8_081017_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA8_081419_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MA8_082018_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MS4_060819_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MS5_060819_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_MS6_060819_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA1_082118_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA2_060117_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA2_060118_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA2_081219_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA2_082417_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA4_081219_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA5_060117_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA5_081219_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA5_082118_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA5_082417_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA6_060117_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA7_060118_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA8_060118_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA8_082118_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XA8_082417_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XC1_060719_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XC6_060719_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height,Wein_XS2_060719_L_Pos_06Apr21_Brandi-WCSH316609.mzML Peak height
22.68518614,Cer(d16:1/22:0(2OH)),Cer(d16:1/22:0(2OH)),1733125.5,1415218.375,994779.25,1816969.5,713192.8125,4028663.75,1451286.625,1598098.125,1385554.375,1457982.5,1366942.25,1727730.25,965911.125,913442.0625,677712.375,1148275.5,542064.5625,1097858.375,1515202.5,1711245.5,1487671.5,2266575.75,1179044.625,904416.3125,2552195.75,2080308.5,2212969.75,2381016,2713929,1732696.375,2895261.5,1307178.375,3055664.5,2300735.25,2753506,1928228.75,1025415.813,1391649.625,3554873.75,2720345,2739666.5,2040213.75,1280314.75,1287186.625,1247948.375,1201506.875,1675461.75,2360678,794111.75,1377388.5,907723.1875,1170403.625,1075262.625,814506.5625,1356543.875,1529736.375,988270.1875,1630856.5,1344817,1433086
9.226825056,Cer(d18:0/0:0),Cer(d18:0/0:0),83929.74219,217235.375,24957.64453,24103.41211,35178.50391,156388.2188,68302.85156,232587.9219,30383.86914,268750.4063,45038.58594,55499.34375,58762.49609,58413.03906,36717.5625,46288.89453,22300.43555,24703.50781,48516.57031,51577.14844,24340.00977,84730.75,28766.76953,20887.96875,62066.04688,81066.96875,55782.77344,62726.88672,75882.82813,64778.92188,42520.50781,30661.81055,146181.4063,54488.57422,201495.6875,27132.66992,84798.50781,65130.89453,79909.67188,34720.19922,88543.26563,54150.10938,81985.71094,2286759.5,259371.4844,585396.125,198039.1875,449470.5938,157334.3906,199199.0469,125015.6563,270351.6563,123797.1172,65798.51563,251328.3906,536849.25,192723.9219,38649.84375,69956.75,98017.28906
19.80770214,Cer(d18:0/14:0),Cer(d18:0/14:0);Cer(d18:0/14:0),1567323.5,2260690,1467050.875,3368362.75,382124.3438,3406647.5,2575962.25,2316916.5,1978092.375,2804541.5,1339746.75,2662002.75,397450.25,635898.875,655873.1875,1561286.625,424003.2188,1294917,1236842,2491256.25,1251719,746926.3125,98027.82031,131683.0781,665057.3125,332076.9063,298757.7813,135815.9219,213709.75,168334.0469,2243881,145414.4219,1457205.375,783601.5625,1011096.063,202805.4531,285341.5938,186571,790441.375,351571.9688,446511.4375,640635.4375,1823242.25,2128368,1907559.25,1748896.125,2407026.75,1879831.875,1060442.125,2141374.25,2427156.75,1010997.938,1295815.5,1142889.125,1471248.875,1072018,1354663,806053.0625,1738319.875,775818.6875
20.83097961,Cer(d18:0/15:0),Cer(d18:0/15:0),593053.5,851907.8125,377037.6563,1262499.25,123914.2734,1203098.25,997246.375,718448.625,670217.125,1112583,376646.3125,879458.125,122616.2344,174202.7188,209611.5469,438910.25,134763.125,393899.375,288061.8438,863851.8125,373504.7813,210674.0313,52578.62109,81493.78906,287837.9375,158469.1094,167694.2031,94838.09375,117931.1172,107816.6406,640119.3125,188479.2344,453500,235384.5469,392040.375,81875,146570.875,103225.6484,343779.4375,262644.1875,176965.1719,240145.3125,301661.875,262909.875,239539.1094,201484.9844,465333.6563,295973.1563,190431.3906,483070.125,538212.625,203197.7031,365187.6875,208315.3906,225789.1094,167534.5313,279606.3438,156058.5313,194676.2344,111273.7656
20.18764008,Cer(d18:0/16:0(2OH))_A,Cer(d18:0/16:0(2OH))_A,1908951.75,1274009.625,1462898.375,1590157.625,1147926.5,1260713.25,1281122.75,976495.6875,2625173,2329371.75,1652057.875,2013457.5,1067183.375,1123732.375,1335774.375,1160219.625,983242.8125,1210627.375,1169976.625,1059322.625,1268409.125,378569.2813,108224.2891,218514.6563,451558.9063,667740.0625,454343.6875,129401.8203,483595.6875,102332.5938,407509.3438,164857.8281,468402.4063,244315.6719,468817.8438,413662,291396.4688,113402.0625,376706.1875,221628.7344,467799.25,479245.6875,714470.5625,575951.25,791615.4375,560726.625,1257075.375,870466.375,702862.9375,1066119.375,1705880.625,614349.9375,1007714,924890.875,573360.125,700748.5,906269.5,706806.375,572107.8125,629558.625
21.00883792,Cer(d18:0/16:0(2OH))_B,Cer(d18:0/16:0(2OH))_B,2036358.125,1936145.75,1368513.25,1552955.75,520614.5625,1751767.375,1888731.125,1475846.25,2600284.5,1332820.625,2077913.25,1893902.75,1090165.5,1186061.75,1545451.125,1408607.375,658997.375,1688090.875,1009568.938,969243.8125,1219389.125,1133584.5,731547.0625,547846.3125,1408532.5,1630460,1405459.75,771042.75,861602.125,768493.0625,1372767,759665.9375,1290329.625,765642.9375,1142929.5,850446.125,336621.3125,738556.6875,1801668.25,1087480,1462993.625,1311722.375,870878.25,857109.9375,945219.9375,954713.5,922427.75,1088743.375,1329977.625,1095423.25,1291149.5,1399237.625,605889.1875,1667543.75,544863.8125,1402845.25,1442517.75,1202718.875,959818.8125,1034802.188
21.70085483,Cer(d18:0/16:0)_A,Cer(d18:0/16:0)_A;Cer(d18:0/16:0)_A,4459659,6148851.5,3461857.75,7184918.5,892434.5625,7797421,6058882,4935751.5,5749600,6345943.5,3863592.5,5846122,1643952.375,1914790.375,1892125.375,3916532,1336749.875,3421131,3320763.5,5797539,3512165.25,2187409,850570.5,870378.375,3270525.25,1931738.5,1950386.25,1013017.938,1414406.75,1306202.125,4105620.5,998795.75,3858786.5,2401944.25,3242104.75,1406755.5,1309559.25,1245429,3234284,2353712.5,2076186.5,2002210.875,3521886.75,3476032.5,3840315,3157095.25,5140732.5,3446019.25,1759353.25,4598410.5,4107532.5,2171146.25,3168064.25,2149864,2342809.5,1920787.75,2976123.75,2406281.25,2223028.75,2210983
22.00576142,Cer(d18:0/16:0)_B,Cer(d18:0/16:0)_B;Cer(d18:0/16:0)_B,4938620.5,3880032.5,2872820.75,3513473.5,2016516,3801379.5,2545178,2237093.75,6564375.5,5409114,3527776.75,3878935.5,2572461.5,2650649.5,2756082.75,2832645.75,2560182.75,2536400,2805070.75,2303832,2583189,1228617.625,395648.0938,629223.4375,1205762.5,1517396.625,1031306.063,413125.0938,1165316.5,369900.3438,732370.875,637833.625,943936.4375,677087.9375,1039590.313,751563.5625,649132.1875,467414.5313,1222630.5,739239,1573595.75,979952.5625,1094446.25,3942808.75,1342095.75,1430726.75,1416513.25,1248658.625,1310460.75,1756443,2230371,1563559.875,1140621.125,1541794.125,1185821.5,1295211.875,1674617.875,889725,1139387.125,1300824
24.96507756,Cer(d18:0/22:0),Cer(d18:0/22:0);Cer(d18:0/22:0),2663916.25,3272049.5,692102,3509397.25,355259.25,2352609.25,1964303.75,2131343,1381149.75,2840521.5,1069338.75,907241,318046.5625,514366.7188,474365.5,863966.9375,512036.25,643141.25,1994888.5,3667797.5,1347925.75,370443.7813,201404.2031,180859.8438,396848.8125,257957.0938,258075.75,177241.5625,244688.2813,201294.1719,860906.6875,190057.9063,422444.0625,408178.3125,447217.625,238273.0781,263834.7813,161889.6563,688731.1875,307328.5313,397461.6563,282690.7188,367730.25,307403.2813,440515.6563,245922.8906,844316,437334.9063,228912.7344,733504.0625,607208.1875,234549.3906,639707.375,298329.5,340824.4063,266618.7188,394481.375,268767.4375,217642.6563,267481.1563
25.38275925,Cer(d18:0/24:0(2OH)),Cer(d18:0/24:0(2OH)),616960.375,404448.8125,409948,682723.5,582419.1875,439179.8125,501488.8125,509349.3125,659377.0625,604535.9375,619388.625,393014.0625,394908.9688,511751.7813,295174.0938,314078.6563,303440.7813,389216.0625,414269.875,592874.3125,454861.0625,323246.625,268136.5938,181361.9063,346881.0938,260353.3594,275533.1563,284017.2813,302838.125,262689.1563,371865.9375,179042.5938,373639.8125,286096.2813,304775.9375,268204.8438,209796.9531,173317.9375,326164.5625,225840.6563,296468.5,256490.1406,334507.0625,246050.8594,320547.9375,180287.5938,392969.6875,241813.2969,219859.9688,346913.5938,350166.2188,235110.25,312053.75,311730.0313,277555.9063,203973.1563,273349.2188,409086.0625,190576.3125,275395.0625
