"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C5H10O4S1","carbohydrate","aliphatic","lipid",-1,0,2,0.8,-4,1,-0.8
"C8H10O6","tannin","unsaturated/lignin","unsaturated/lignin",0.2,0.25,1.25,0.75,-2,4,-0.25
"C9H14O5","amino_sugar","aliphatic","aliphatic",0.0769,-0.4444,1.56,0.56,-2,3,-0.2222
"C10H18O4","protein","aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"C14H18O1","unsaturated_hydrocarbon","unsaturated/lignin","unsaturated/lignin",0.4074,-1.1429,1.29,0.07,5,6,0.3571
"C11H22O3","lipid","aliphatic","lipid",-0.0526,-1.4545,2,0.27,-2,1,-0.1818
"C8H12O6","carbohydrate","aliphatic","aliphatic",0,0,1.5,0.75,-3,3,-0.375
"C9H16O5","amino_sugar","aliphatic","aliphatic",-0.0769,-0.6667,1.78,0.56,-3,2,-0.3333
"C10H20O4","protein","aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"C7H10O7","tannin","unsaturated/lignin","unsaturated/lignin",-0.1429,0.5714,1.43,1,-4,3,-0.5714
"C11H10O4","lignin","aromatic","aromatic",0.5556,-0.1818,0.91,0.36,3,7,0.2727
"C12H14O3","lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.6667,1.17,0.25,3,6,0.25
"C14H22O1","lipid","aliphatic","aliphatic",0.2593,-1.4286,1.57,0.07,3,4,0.2143
"C11H13O3N1","lignin","unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.18,0.27,2,6,0.1818
"C10H8O5","lignin","aromatic","aromatic",0.6,0.2,0.8,0.5,2,7,0.2
"C11H12O4","lignin","unsaturated/lignin","unsaturated/lignin",0.4444,-0.3636,1.09,0.36,2,6,0.1818
"C8H16O4S1","protein","aliphatic","lipid",-0.4,-0.75,2,0.5,-4,1,-0.5
"C13H20O2","lipid","aliphatic","aliphatic",0.25,-1.2308,1.54,0.15,2,4,0.1538
"C10H10O5","lignin","unsaturated/lignin","unsaturated/lignin",0.4667,0,1,0.5,1,6,0.1
"C9H18O3","protein","aliphatic","lipid",-0.0667,-1.3333,2,0.33,-2,1,-0.2222
"C12H18O3","lipid","aliphatic","aliphatic",0.2381,-1,1.5,0.25,1,4,0.0833
"C13H22O2","lipid","aliphatic","aliphatic",0.1667,-1.3846,1.69,0.15,1,3,0.0769
"C10H13O4N1","lignin","unsaturated/lignin","unsaturated/lignin",0.2857,-0.2,1.3,0.4,0,5,0
"C9H8O6","tannin","unsaturated/lignin","unsaturated/lignin",0.5,0.4444,0.89,0.67,0,6,0
"C10H12O5","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2,1.2,0.5,0,5,0
"C11H16O4","lignin","unsaturated/lignin","unsaturated/lignin",0.2222,-0.7273,1.45,0.36,0,4,0
"C12H20O3","lipid","aliphatic","aliphatic",0.1429,-1.1667,1.67,0.25,0,3,0
"C10H10O3","lignin","aromatic","aromatic",0.5294,-0.4,1,0.3,3,6,0.3
"C10H14O5","lignin","unsaturated/lignin","unsaturated/lignin",0.2,-0.4,1.4,0.5,-1,4,-0.1
"C11H18O4","protein","aliphatic","aliphatic",0.1111,-0.9091,1.64,0.36,-1,3,-0.0909
"C12H22O3","lipid","aliphatic","aliphatic",0.0476,-1.3333,1.83,0.25,-1,2,-0.0833
"C6H12O6","carbohydrate","aliphatic","carbohydrate",-0.6667,0,2,1,-5,1,-0.8333
