Site,treatment,plot,X_decimal.degree,Y_decimal.degree,DBH (cm),Height(m)
Mesic,Control,1,-162.222927,67.4822,5.170882946,3.2
Mesic,Control,2,-162.223994,67.481675,5.641895835,3.2
Mesic,Control,3,-162.22482,67.481719,4.370193722,2.5
Mesic,Control,4,-162.225978,67.481676,4.513516668,3.3
Mesic,Control,5,-162.225379,67.481039,5.046265044,3.7
Mesic,Control,6,-162.225694,67.4809,5.232078957,2.8
Mesic,Control,7,-162.226883,67.481001,4.456740614,2.8
Mesic,Control,8,-162.227282,67.48073,4.583497844,2.9
Mesic,Snowfence,1,-162.223466,67.482051,4.222008246,2.8
Mesic,Snowfence,2,-162.223717,67.481855,5.046265044,3.4
Mesic,Snowfence,3,-162.224201,67.481929,4.787307365,2.8
Mesic,Snowfence,4,-162.22412,67.481536,4.222008246,2.4
Mesic,Snowfence,5,-162.225418,67.481596,5.10895397,3.9
Mesic,Snowfence,6,-162.226271,67.480882,4.982787485,3.2
Mesic,Snowfence,7,-162.227446,67.480965,5.819636749,4.1
Mesic,Snowfence,8,-162.227346,67.480675,4.583497844,3
Mesic,Ancillary,1,-162.223704,67.481737,4.720348719,3.2
Mesic,Ancillary,2,-162.223948,67.481799,5.292567428,3.9
Mesic,Ancillary,3,-162.224177,67.481638,4.370193722,2.8
Mesic,Ancillary,4,-162.224645,67.481502,5.046265044,2.6
Mesic,Ancillary,5,-162.22482,67.481469,4.222008246,2.9
Mesic,Ancillary,6,-162.225615,67.481279,5.641895835,3.4
Mesic,Ancillary,7,-162.225783,67.4811,4.652426492,2.5
Mesic,Ancillary,8,-162.226514,67.480837,4.957168871,3.6
Mesic,Fertilized,1,-162.22464,67.481378,4.787307365,3
Mesic,Fertilized,2,-162.224851,67.481413,5.41151638,4.2
Mesic,Fertilized,3,-162.225031,67.481426,5.170882946,3
Mesic,Fertilized,4,-162.225197,67.481242,4.787307365,2.9
Mesic,Fertilized,5,-162.225353,67.481248,4.652426492,3
Xeric,Control,1,-162.214651,67.467494,5.47002096,4.3
Xeric,Control,2,-162.214072,67.467046,5.170882946,3.9
Xeric,Control,3,-162.214104,67.467012,5.753627392,4.7
Xeric,Control,4,-162.21348,67.466953,6.180387232,5.5
Xeric,Control,5,-162.213535,67.466429,4.773990768,3.2
Xeric,Control,6,-162.212475,67.466395,4.370193722,3
Xeric,Control,7,-162.210149,67.467368,4.399231874,2.5
Xeric,Control,8,-162.210021,67.467417,4.720348719,2.9
Xeric,Snowfence,1,-162.213972,67.467224,5.641895835,4.9
Xeric,Snowfence,2,-162.214282,67.467086,6.07650778,4.7
Xeric,Snowfence,3,-162.213323,67.467113,4.267004276,3.1
Xeric,Snowfence,4,-162.213058,67.466368,5.527906392,4.8
Xeric,Snowfence,5,-162.212736,67.466329,4.969994685,3.5
Xeric,Snowfence,6,-162.210523,67.466037,4.555634377,3.1
Xeric,Snowfence,7,-162.210181,67.467295,4.611192947,2.9
Xeric,Snowfence,8,-162.210508,67.467421,4.840207395,3.1
Xeric,Ancillary,1,-162.214015,67.467416,3.793099901,2.3
Xeric,Ancillary,2,-162.213584,67.466961,4.222008246,2.9
Xeric,Ancillary,3,-162.213484,67.466769,4.513516668,3
Xeric,Ancillary,4,-162.211251,67.465953,6.98319945,5.5
Xeric,Ancillary,5,-162.210979,67.465745,6.675581178,4.9
Xeric,Ancillary,6,-162.21178,67.465566,5.232078957,2.8
Xeric,Ancillary,7,-162.211287,67.465467,4.652426492,3.1
Xeric,Ancillary,8,-162.210229,67.467411,6.863662518,4.5
Xeric,Fertilized,1,-162.210782,67.465649,5.539410892,4.4
Xeric,Fertilized,2,-162.211457,67.465652,5.280525166,3.2
Xeric,Fertilized,3,-162.211645,67.466101,5.434993785,3.8
Xeric,Fertilized,4,-162.212765,67.465884,5.304582353,3.9
Xeric,Fertilized,5,-162.214029,67.466187,4.982787485,3.2
Hydric,Control,1,-162.199008,67.468831,4.787307365,3.6
Hydric,Control,2,-162.200342,67.468691,4.222008246,3
Hydric,Control,3,-162.199996,67.468763,5.41151638,3.4
Hydric,Control,4,-162.199754,67.468763,4.85334231,2.8
Hydric,Control,5,-162.200065,67.469155,4.296739857,3.3
Hydric,Control,6,-162.197434,67.469351,5.641895835,4.1
Hydric,Control,7,-162.197771,67.468555,6.282549314,5.4
Hydric,Control,8,-162.198036,67.468198,4.442433223,3.4
Hydric,Snowfence,1,-162.199739,67.468886,5.970821321,4.3
Hydric,Snowfence,2,-162.199761,67.469345,4.068428945,2.4
Hydric,Snowfence,3,-162.199898,67.469401,5.970821321,4
Hydric,Snowfence,4,-162.198675,67.469373,4.827036738,3.6
Hydric,Snowfence,5,-162.197836,67.469125,5.170882946,3.8
Hydric,Snowfence,6,-162.197543,67.468775,6.282549314,4.8
Hydric,Snowfence,7,-162.198086,67.468396,4.068428945,3.1
Hydric,Snowfence,8,-162.197889,67.468084,5.641895835,4.5
Hydric,Ancillary,1,-162.200121,67.469287,5.808687282,4.9
Hydric,Ancillary,2,-162.199141,67.469732,5.47002096,4
Hydric,Ancillary,3,-162.199025,67.469658,4.85334231,3.8
Hydric,Ancillary,4,-162.198956,67.469299,4.370193722,3
Hydric,Ancillary,5,-162.19713,67.468775,4.720348719,3
Hydric,Ancillary,6,-162.197534,67.468587,5.527906392,4.1
Hydric,Ancillary,7,-162.197871,67.468194,5.046265044,4
Hydric,Ancillary,8,-162.198173,67.467953,5.170882946,3.1
Hydric,Fertilized,1,-162.197632,67.468615,5.170882946,3.2
Hydric,Fertilized,2,-162.19744,67.468699,5.170882946,4.1
Hydric,Fertilized,3,-162.196986,67.468851,6.180387232,5.3
Hydric,Fertilized,4,-162.198099,67.469225,5.170882946,3.3
Hydric,Fertilized,5,-162.198121,67.469264,5.527906392,3.7
